"ITTER107","Territorio","TIPO_DATO_CN1","Tipo aggregato","VAL","Valutazione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC","Nord-ovest","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2004","2004",36444.053,,
"ITC","Nord-ovest","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2005","2005",36518.179,,
"ITC","Nord-ovest","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2006","2006",36827.406,,
"ITC","Nord-ovest","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2007","2007",37126.769,,
"ITC","Nord-ovest","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2008","2008",37008.627,,
"ITC","Nord-ovest","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2009","2009",34347.454,,
"ITC","Nord-ovest","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2010","2010",35475.307,,
"ITC","Nord-ovest","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2011","2011",35544.532,,
"ITC","Nord-ovest","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2012","2012",34182.739,,
"ITC","Nord-ovest","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2013","2013",33492.771,,
"ITC","Nord-ovest","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2014","2014",33554.842,,
"ITC","Nord-ovest","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2015","2015",33874.323,,
"ITC","Nord-ovest","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2016","2016",34449.636,,
"ITC","Nord-ovest","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2017","2017",35248.686,,
"ITC","Nord-ovest","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2018","2018",35738.662,,
"ITC","Nord-ovest","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2019","2019",35773.256,,
"ITD","Nord-est","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2004","2004",34595.086,,
"ITD","Nord-est","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2005","2005",34693.549,,
"ITD","Nord-est","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2006","2006",35304.444,,
"ITD","Nord-est","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2007","2007",35678.397,,
"ITD","Nord-est","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2008","2008",34740.23,,
"ITD","Nord-est","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2009","2009",32455.88,,
"ITD","Nord-est","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2010","2010",32992.854,,
"ITD","Nord-est","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2011","2011",33485.497,,
"ITD","Nord-est","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2012","2012",32438.998,,
"ITD","Nord-est","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2013","2013",32126.033,,
"ITD","Nord-est","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2014","2014",32277.84,,
"ITD","Nord-est","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2015","2015",32591.52,,
"ITD","Nord-est","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2016","2016",33103.891,,
"ITD","Nord-est","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2017","2017",33805.21,,
"ITD","Nord-est","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2018","2018",34223.508,,
"ITD","Nord-est","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2019","2019",34410.034,,
"ITE","Centro","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2004","2004",34081.845,,
"ITE","Centro","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2005","2005",33973.815,,
"ITE","Centro","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2006","2006",34425.038,,
"ITE","Centro","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2007","2007",34710.873,,
"ITE","Centro","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2008","2008",33688.068,,
"ITE","Centro","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2009","2009",32180.494,,
"ITE","Centro","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2010","2010",32163.7,,
"ITE","Centro","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2011","2011",32218.813,,
"ITE","Centro","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2012","2012",30942.801,,
"ITE","Centro","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2013","2013",30093.492,,
"ITE","Centro","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2014","2014",30000.593,,
"ITE","Centro","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2015","2015",29970.348,,
"ITE","Centro","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2016","2016",30494.82,,
"ITE","Centro","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2017","2017",30882.533,,
"ITE","Centro","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2018","2018",31152.258,,
"ITE","Centro","B1GQ_B_W2_S1_R_POP","prodotto interno lordo ai prezzi di mercato per abitante","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2023M12","Dic-2023","2019","2019",31614.023,,
